name,team_key,number_of_moves,number_of_trades,clinched_playoffs,manager_name,division_id,draft_grade,rank,points_for,points_against,wins,losses
Got Trades?,399.l.301184.t.8,17,1,True,Ben,,C-,1,1668.12,1418.26,10,3
THICC N JUICY,399.l.301184.t.7,30,1,True,Tony F,,C+,2,1713.48,1386.52,9,4
Galloping Gobblers,399.l.301184.t.10,31,0,True,Steven,,B,3,1734.56,1587.16,7,6
Andrew's Team,399.l.301184.t.2,29,0,True,Andrew,,C+,4,1801.64,1606.98,9,4
Younghoe? Very Koo,399.l.301184.t.3,36,0,True,Alex Zara,,A-,5,1599.12,1575.98,9,4
BAGG UP TERRY,399.l.301184.t.5,50,1,True,Brian,,C+,6,1542.1,1713.96,7,6
nate's Dazzling Team,399.l.301184.t.11,37,0,False,nate,,C+,7,1466.22,1559.96,4,9
BigBootyBashers,399.l.301184.t.12,22,0,False,Zach,,B,8,1553.2,1659.62,5,8
tegridy,399.l.301184.t.6,44,0,False,Jeff Big,,A-,9,1627.14,1637.64,4,9
Patriots 3.0,399.l.301184.t.4,29,1,False,august,,B,10,1539.84,1592.04,6,7
CeeDeez Nuts,399.l.301184.t.1,61,0,False,WH,,C,11,1431.12,1574.32,4,9
Hip Hip Murray,399.l.301184.t.9,22,0,False,Joe,,C,12,1418.9,1783.0,4,9
